label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
1775	4.746811279270788e-22	7.864544943959326e-23	255-24-215-202	255-122-4-2
1776	1.1841231544233303e-10	3.859093296225877e-11	255-24-215-202	255-26-209-210
1777	1.7258437859096992e-14	7.403296514718485e-16	255-24-215-202	255-101-252-104
1778	8.439103992951879e-18	3.070597470702468e-19	255-24-215-202	255-122-4-2
1779	1.187555489080576e-14	3.720942147228172e-15	255-24-215-202	255-101-252-104
1780	5.4298659386866665e-17	1.3179745246100177e-17	255-51-172-246	255-212-231-53
1781	9.479711045522445e-18	1.70708256626458e-18	255-51-172-246	255-212-231-53
1782	1.524929512151104e-13	1.5920002874806925e-14	255-51-172-246	255-122-4-2
1783	3.7138578880662815e-12	1.2444323121962554e-13	255-51-172-246	255-26-209-210
1784	2.347403350557736e-14	4.529160767534777e-16	255-51-172-246	255-26-209-210
1785	2.8545027600657657e-11	1.6437386678555654e-12	255-51-172-246	255-101-252-104
1786	1.7911684447902865e-14	1.5503829672918065e-13	255-24-215-202	255-101-252-104
1787	1.814642404929063e-13	1.5344533362063254e-12	255-24-215-202	255-122-4-2
1788	3.792648088311512e-14	1.5416250285697306e-13	255-24-215-202	255-101-252-104
1789	1.1780447332450122e-16	4.512101451499337e-17	255-51-172-246	255-101-252-104
1790	9.03385896364536e-12	2.9004959421833388e-12	255-24-215-202	255-254-152-44
1791	2.5028781502367308e-11	2.196222909448355e-11	255-24-215-202	255-101-252-104
1792	5.828148133176556e-18	5.388073585420143e-18	255-24-215-202	255-26-209-210
1793	5.057861129554184e-17	4.767187491407481e-15	255-24-215-202	255-254-152-44
1794	2.311296054498063e-17	7.709685306142769e-16	255-24-215-202	255-26-209-210
1795	2.2148803295620806e-16	8.04461211234672e-16	255-24-215-202	255-122-4-2
1796	2.9496359977310088e-21	4.717442002869626e-19	255-24-215-202	255-122-4-2
1797	1.9227198308963643e-16	3.3504301159173007e-16	255-24-215-202	255-26-209-210
1798	5.284279507856951e-15	3.682210868710257e-13	255-24-215-202	255-122-4-2
1799	1.849005284821094e-17	1.0855137115454173e-15	255-24-215-202	255-122-4-2
1800	4.338338574975387e-18	1.2981890639538368e-15	255-24-215-202	255-122-4-2
1801	1.468715358195498e-24	5.363734529241363e-21	255-24-215-202	255-122-4-2
1802	7.807411473650026e-21	3.086246160125167e-17	255-70-122-242	255-122-4-2
1804	2.1291299878528204e-19	2.3300033525140763e-16	255-24-215-202	255-122-4-2
1805	1.0512392402220566e-19	4.813407984061272e-17	255-24-215-202	255-122-4-2
1806	7.226362861162899e-19	3.7503926750323892e-16	255-24-215-202	255-26-209-210
1807	5.939726282549559e-20	2.1002993740934228e-16	255-24-215-202	255-26-209-210
1808	3.0840239562913333e-20	5.929119582702805e-17	255-70-122-242	255-122-4-2
1809	2.8059497657370575e-22	1.3432844055860764e-18	255-24-215-202	255-26-209-210
1810	3.717151017165973e-21	2.6433737748331817e-18	255-70-122-242	255-212-231-53
1811	8.681113823705493e-22	1.6660801719271474e-18	255-24-215-202	255-26-209-210
1812	7.302680251107278e-25	2.3718107287541086e-17	255-70-122-242	255-212-231-53
1813	5.100399495285855e-24	1.0010470836110006e-16	255-70-122-242	255-122-4-2
1814	2.5427520516526844e-25	5.0255324189850176e-18	255-70-122-242	255-26-209-210
1815	1.6909450302210045e-21	2.8020428656977498e-18	255-24-215-202	255-26-209-210
