label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
49	1.9974496599958768e-11	1.4590869960168158e-11	0.5986176947721872	0.40138199835292104	2.9011137377091724e-07	9.322194068274925e-17	1.5730178288984532e-13	1.672858479095552e-08	2.1456614577313595e-15	3.4204077157241587e-19	2.0818159497927318e-13	3.5657834334516e-122	0.0	Sensory Motile Cilia
50	8.956113025837576e-32	1.6368759358306287e-34	0.00015661250483481703	0.9998433874951441	9.70805407314054e-19	4.111078857420641e-30	1.3156453103773673e-21	3.5982676996594327e-34	1.5911052524390906e-18	2.1006420814557044e-14	1.4182651039656542e-24	0.0	6.329379918995702e-212	Nervous System
51	3.465646235260831e-23	8.132628530617726e-25	0.002335724357261375	0.9976642723541618	3.0456384297465176e-09	6.623478221939016e-23	6.34396226778232e-13	1.2473042295521754e-23	2.4230399462419225e-10	2.6098536839426614e-25	7.71650100454641e-23	2.0307620461490944e-225	1.2909568155215281e-226	Nervous System
52	1.1302911304447675e-20	7.6841723216085245e-19	0.03727575154693037	0.9627242468203056	1.5884768769742978e-09	1.812812567960738e-19	1.3335857341031062e-12	1.448604125227387e-15	4.293911504535338e-11	1.3145271896044245e-14	2.526730947506514e-18	1.023251536399509e-143	7.756231977193755e-289	Nervous System
53	8.80196192591967e-19	3.911648447635857e-20	0.0043101971299166686	0.9956898027909113	7.906290415593637e-11	3.66476850708925e-20	2.7347680722219513e-16	4.7303532773232005e-14	8.663588114695381e-15	4.413630616163852e-14	8.530753257211097e-15	5.307456124766967e-131	0.0	Nervous System
54	2.490852954863898e-32	7.0111355914723805e-34	1.0850063414609033e-06	0.9999989149936584	1.3847414314709991e-18	1.2261730175361467e-29	4.95985203131538e-23	8.070293463661959e-29	6.867757849089385e-21	7.611613481760158e-19	1.0700233920206978e-27	5.852455438699874e-239	3.7204099074294424e-240	Nervous System
55	5.3320687347312375e-25	1.7790608987252006e-24	2.248786696451889e-05	0.9999775121320191	5.701165085864277e-13	2.1263599918878147e-23	1.9196648556467528e-15	1.1030345179318861e-22	7.566244660011908e-14	3.6859497458962925e-13	1.236181059114506e-20	2.625846115166008e-161	1.927116826385206e-279	Nervous System
56	5.390907829474677e-06	8.227561029106331e-06	0.08883640482826648	0.24468543016519875	0.008180349908444212	1.9776547863316477e-09	4.8005101539318436e-05	3.559644304349315e-08	9.22639898528174e-05	0.6578160953442284	0.0003277946195135648	3.967718723853567e-50	0.0	Anterior nervous system
57	1.3142768966906226e-09	1.9244861294651718e-10	1.7420677466239414e-05	9.439320572581972e-07	0.00012117853111838878	1.097246310649461e-09	0.999678865175391	0.00010342640143997274	7.816267684908398e-05	1.6782677772285807e-12	2.8043579072227258e-14	3.2445965374035116e-82	0.0	Epidermis
58	3.1515052457150864e-22	2.849144412831463e-22	0.0009820886716350717	0.9990179113153348	1.2909111145691744e-11	1.4553046664139855e-22	3.780138527334048e-17	9.986633891210135e-24	5.626013510360033e-14	6.482823186259172e-14	2.3868919857885433e-19	4.956076107599987e-195	3.366543472939561e-250	Nervous System
