label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
3226	227.04	141.36	61.0	200.16	138.40	53.60	241.36	198.16	69.60	0	1	kevin	5077	249	0
3227	229.52	135.68	57.8	209.28	132.80	54.90	232.88	148.48	60.70	0	1	kevin	5078	246	0
3233	233.84	139.36	61.2	197.92	137.60	52.60	240.32	187.84	66.20	0	1	kevin	5507	232	0
3259	181.84	150.08	61.3	171.04	147.04	58.10	184.72	154.64	63.50	0	1	kevin	5300	698	0
3286	124.64	166.32	61.7	121.84	163.84	58.70	130.08	169.52	65.80	0	1	kevin	5558	648	0
3287	127.12	171.52	60.3	124.00	157.68	57.30	135.44	174.80	75.40	0	1	kevin	5343	647	0
3288	130.96	174.56	60.2	128.56	171.60	52.90	144.32	180.16	63.00	0	1	kevin	5345	645	0
3291	133.36	178.08	59.4	130.24	155.84	33.00	154.32	181.20	61.80	0	1	kevin	5366	646	0
3365	178.48	207.52	61.2	175.76	180.24	52.60	199.20	210.96	63.70	0	1	kevin	5629	618	0
3395	149.76	213.76	58.0	146.80	164.00	53.40	216.00	221.76	76.40	0	1	kevin	5414	551	0
3401	155.92	211.44	60.2	152.88	166.96	43.20	211.36	223.20	61.50	0	1	kevin	5416	228	0
3405	161.76	208.0	61.6	158.16	195.28	53.10	169.84	225.12	65.90	0	1	kevin	5862	226	0
3409	164.08	216.16	63.6	161.68	176.08	51.50	206.80	225.68	65.80	0	1	kevin	5662	213	0
3410	167.44	215.12	60.0	164.64	181.44	47.40	212.08	218.08	62.30	0	1	kevin	5435	211	0
3411	165.12	211.12	61.4	163.20	183.68	50.60	216.64	218.08	68.10	0	1	kevin	5188	218	0
