label_id	clusters	morphologyColourScheme
8605	1	255-147-172-58
8812	2	255-7-197-226
8606	9	255-0-76-255
8289	9	255-0-76-255
6732	9	255-0-76-255
8433	2	255-7-197-226
8420	2	255-7-197-226
8814	2	255-7-197-226
8574	1	255-147-172-58
8594	1	255-147-172-58
8815	3	255-98-0-122
8435	2	255-7-197-226
8437	2	255-7-197-226
8816	2	255-7-197-226
8608	1	255-147-172-58
8609	3	255-98-0-122
8607	1	255-147-172-58
8610	2	255-7-197-226
8596	2	255-7-197-226
8967	6	255-209-164-255
8817	2	255-7-197-226
8611	1	255-147-172-58
8438	1	255-147-172-58
8836	10	255-114-16-255
8640	2	255-7-197-226
8612	1	255-147-172-58
8838	2	255-7-197-226
8613	7	255-98-132-2
8255	6	255-209-164-255
1879	9	255-0-76-255
8560	9	255-0-76-255
8378	9	255-0-76-255
8644	6	255-209-164-255
6290	9	255-0-76-255
8493	9	255-0-76-255
8424	9	255-0-76-255
8819	10	255-114-16-255
8820	2	255-7-197-226
8468	4	255-254-141-100
8447	2	255-7-197-226
8821	2	255-7-197-226
8619	9	255-0-76-255
8848	4	255-254-141-100
8822	2	255-7-197-226
8620	2	255-7-197-226
8648	6	255-209-164-255
8448	5	255-181-131-84
8649	4	255-254-141-100
8824	6	255-209-164-255
8472	1	255-147-172-58
8825	1	255-147-172-58
8453	2	255-7-197-226
8852	4	255-254-141-100
8853	4	255-254-141-100
8454	6	255-209-164-255
8473	2	255-7-197-226
8854	4	255-254-141-100
9003	4	255-254-141-100
8623	2	255-7-197-226
8667	9	255-0-76-255
8827	2	255-7-197-226
8651	9	255-0-76-255
8098	6	255-209-164-255
8829	2	255-7-197-226
8855	9	255-0-76-255
9023	9	255-0-76-255
9007	9	255-0-76-255
8856	9	255-0-76-255
9026	6	255-209-164-255
8861	2	255-7-197-226
8991	2	255-7-197-226
8476	2	255-7-197-226
8834	2	255-7-197-226
8657	2	255-7-197-226
9030	2	255-7-197-226
8862	5	255-181-131-84
8835	2	255-7-197-226
7922	4	255-254-141-100
8636	2	255-7-197-226
8635	1	255-147-172-58
8660	3	255-98-0-122
8459	1	255-147-172-58
8865	2	255-7-197-226
8638	1	255-147-172-58
8661	5	255-181-131-84
8837	10	255-114-16-255
8864	1	255-147-172-58
9385	3	255-98-0-122
7713	8	255-222-69-200
8639	2	255-7-197-226
8866	7	255-98-132-2
7702	9	255-0-76-255
9016	9	255-0-76-255
8283	8	255-222-69-200
6318	9	255-0-76-255
6291	9	255-0-76-255
8711	8	255-222-69-200
8469	9	255-0-76-255
6836	9	255-0-76-255
6074	9	255-0-76-255
8690	5	255-181-131-84
8650	5	255-181-131-84
8691	1	255-147-172-58
8692	1	255-147-172-58
8666	3	255-98-0-122
8322	3	255-98-0-122
9055	1	255-147-172-58
8482	1	255-147-172-58
9056	3	255-98-0-122
9057	10	255-114-16-255
8669	2	255-7-197-226
8693	2	255-7-197-226
8868	2	255-7-197-226
9062	2	255-7-197-226
8306	2	255-7-197-226
8670	2	255-7-197-226
8695	2	255-7-197-226
8697	10	255-114-16-255
8696	2	255-7-197-226
8307	2	255-7-197-226
9044	2	255-7-197-226
8503	1	255-147-172-58
8698	2	255-7-197-226
8671	2	255-7-197-226
8869	2	255-7-197-226
8672	2	255-7-197-226
8870	2	255-7-197-226
8699	3	255-98-0-122
8504	3	255-98-0-122
8674	2	255-7-197-226
8489	1	255-147-172-58
8308	5	255-181-131-84
8700	5	255-181-131-84
8883	3	255-98-0-122
8677	2	255-7-197-226
8507	1	255-147-172-58
8676	1	255-147-172-58
8679	5	255-181-131-84
8701	5	255-181-131-84
8314	1	255-147-172-58
7958	6	255-209-164-255
8490	10	255-114-16-255
8506	5	255-181-131-84
8681	10	255-114-16-255
8510	5	255-181-131-84
8509	7	255-98-132-2
8682	5	255-181-131-84
8115	7	255-98-132-2
8710	7	255-98-132-2
