label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
61	135.35	126.64	136.09	132.17	108.35	125.80	143.48	140.68	156.90	129	1	commissural
62	135.60	126.67	136.29	136.19	118.60	113.83	156.27	143.60	141.85	168	1	commissural
63	135.54	126.73	136.44	135.19	107.12	116.05	148.89	146.44	146.75	172	1	commissural
64	135.51	126.17	136.99	135.41	112.22	124.45	144.35	144.09	146.70	139	1	commissural
65	135.85	126.57	137.19	120.01	119.39	114.04	139.67	145.19	145.55	182	1	commissural
66	135.37	126.24	137.29	132.81	115.60	130.93	138.62	132.24	141.62	107	1	commissural
67	135.39	124.93	139.04	133.87	100.20	134.36	140.16	128.23	154.65	112	1	commissural
68	132.41	127.56	140.62	140.17	108.02	127.79	146.74	133.22	154.16	77	1	commissural
69	132.82	125.84	140.69	120.77	118.48	114.01	145.03	145.44	138.99	138	1	commissural
70	134.60	125.77	140.74	139.84	122.03	134.06	149.92	129.05	139.31	54	1	commissural
71	134.33	125.88	140.74	135.95	123.59	113.15	143.11	130.70	136.70	64	1	david
72	132.81	127.85	140.97	138.17	126.44	132.10	143.00	129.17	132.94	26	0	david
73	132.43	125.21	140.99	101.93	113.50	121.26	159.96	140.31	135.69	193	1	commissural
74	134.46	125.59	140.99	135.47	123.72	113.09	143.21	130.69	134.46	81	1	commissural
75	132.75	124.87	141.04	116.17	113.56	116.90	157.65	140.24	134.41	167	1	commissural
76	133.32	125.81	141.04	124.35	85.37	116.48	154.14	130.91	142.11	193	1	commissural
77	133.64	126.42	141.04	141.04	119.88	122.43	147.06	152.57	140.23	119	1	david
78	134.43	126.45	141.04	132.95	115.43	131.85	146.17	130.66	145.48	127	1	commissural
79	132.80	124.69	141.22	128.39	100.56	131.31	143.38	126.62	149.22	173	1	commissural
80	134.59	125.45	141.29	138.16	122.19	107.64	145.82	130.53	139.02	92	1	commissural
81	133.57	125.18	141.51	110.67	112.69	124.16	144.65	145.79	152.04	360	1	commissural
82	131.64	125.19	141.54	108.52	108.38	131.17	142.03	127.93	152.32	202	1	commissural
83	133.13	125.45	141.56	133.22	110.26	114.00	179.98	129.57	154.45	218	1	commissural
84	132.83	124.34	141.84	133.59	117.47	117.94	168.72	130.77	134.23	129	1	commissural
85	131.42	125.57	141.84	135.95	122.91	110.44	152.97	132.97	137.26	97	1	commissural
86	133.35	125.39	141.86	135.73	98.19	132.92	142.11	126.78	145.99	106	1	commissural
87	131.75	125.00	141.99	98.38	107.00	119.91	144.66	154.64	137.12	206	1	commissural
88	132.40	124.02	142.19	137.29	93.59	123.31	157.71	130.63	150.10	152	1	commissural
89	131.83	124.58	142.22	137.78	93.45	117.97	152.39	133.86	137.08	185	1	commissural
90	133.20	125.44	142.26	141.78	124.18	126.47	143.72	133.50	134.49	53	1	david
91	132.97	125.33	142.31	134.67	104.00	114.36	154.46	136.48	141.82	247	1	commissural
