label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
20162	129.10	120.38	149.56	113.67	103.75	149.12	129.53	120.60	159.62	206	1	none	0	162
20164	116.16	146.38	149.88	113.80	134.16	146.42	116.59	146.38	149.88	64	1	none	0	164
20169	125.80	125.37	151.84	119.63	119.33	93.99	138.32	141.91	163.46	394	1	none	0	169
20175	126.39	118.82	152.53	103.59	118.73	132.95	133.00	151.73	157.78	1078	1	none	0	175
20178	105.66	111.14	152.95	105.65	111.14	152.95	123.14	124.33	158.45	88	1	none	0	178
20184	124.39	117.27	155.10	120.18	97.37	150.12	145.84	126.53	163.74	262	1	none	0	184
20186	124.87	116.53	155.13	118.09	100.08	151.31	140.70	131.47	161.55	360	1	none	0	186
20190	124.64	116.39	155.21	109.76	112.53	144.62	139.83	124.00	160.18	460	1	none	0	190
20191	104.31	114.31	155.60	104.31	112.07	155.60	122.22	121.58	180.04	210	1	none	0	191
20193	123.23	116.49	155.85	121.12	113.63	94.48	138.35	140.74	157.06	570	1	none	0	193
20194	124.43	117.82	155.88	118.79	108.99	109.36	133.32	132.32	157.48	878	1	none	0	194
20195	125.36	132.11	155.94	111.84	108.82	108.00	139.74	146.39	222.20	1402	1	none	0	195
20210	133.28	102.86	158.61	118.04	49.94	158.61	153.16	103.87	234.18	1552	1	none	0	210
20212	212.72	121.54	158.96	200.49	107.54	143.87	214.44	125.18	180.95	714	1	none	0	212
20215	122.10	115.61	159.78	115.28	107.78	145.11	144.97	142.84	164.44	812	1	none	0	215
20221	105.02	128.92	163.53	105.02	123.84	104.26	131.81	144.97	164.78	354	1	none	0	221
20223	130.21	102.68	164.89	118.04	49.94	164.89	153.16	102.76	234.18	1406	1	none	0	223
20225	120.04	113.89	166.09	117.36	80.37	151.39	128.55	124.73	177.67	708	1	none	0	225
20233	131.75	89.52	167.00	130.41	88.74	166.75	137.28	90.76	168.65	58	1	none	0	233
20236	131.48	89.06	167.13	126.86	87.27	164.00	138.34	110.08	175.90	320	1	none	0	236
20238	131.72	89.14	167.22	103.14	85.78	166.27	147.83	122.93	185.34	726	1	none	0	238
20246	121.15	112.03	168.82	109.97	100.72	112.34	144.13	143.82	173.85	1052	1	none	0	246
20257	120.90	111.47	169.72	100.41	106.27	109.60	154.94	125.00	187.08	822	1	none	0	257
20258	106.18	138.16	169.75	106.13	121.03	145.88	129.53	138.16	170.07	206	1	none	0	258
20259	120.86	111.78	169.88	120.86	85.89	166.25	148.00	111.78	175.50	432	1	none	0	259
20260	126.28	103.89	171.81	111.92	96.92	164.47	127.31	103.89	178.42	310	1	none	0	260
20261	125.27	102.85	173.54	103.14	102.58	173.54	125.27	122.93	185.34	398	1	none	0	261
20266	112.01	96.36	180.20	112.01	69.93	180.20	127.02	105.02	227.93	870	1	none	0	266
20267	101.88	108.18	181.88	101.88	108.18	180.72	116.08	118.73	186.15	238	1	none	0	267
20268	117.65	111.12	182.21	98.34	97.37	182.14	126.50	120.46	187.76	420	1	none	0	268
20274	101.78	83.21	205.55	101.78	83.21	205.55	119.97	99.14	210.80	88	1	none	0	274
20277	97.03	94.75	208.03	97.03	77.77	157.78	128.11	105.52	208.03	218	1	none	0	277
20278	100.31	82.00	208.43	98.75	78.80	205.00	105.42	85.97	211.15	44	1	none	0	278
20279	104.39	80.23	209.90	104.39	80.23	209.90	123.18	104.84	214.71	128	1	none	0	279
20280	91.03	96.91	211.20	87.24	77.77	157.78	128.11	105.52	216.53	248	1	none	0	280
20281	108.52	78.39	238.50	102.86	78.39	231.07	111.93	96.66	239.21	104	1	none	0	281
20282	115.13	78.00	241.22	103.35	78.00	228.37	115.13	100.18	241.22	112	1	none	0	282
20283	111.76	73.96	241.35	111.76	73.96	241.35	117.91	81.54	241.35	26	1	none	0	283
20284	96.23	95.14	243.12	96.23	88.23	236.13	108.29	95.14	243.12	56	1	none	0	284
